id,reading,answer,example,category,level
335,おうぼ,応募,キャンペーンに応募する,日常,2
336,しめきりび,締切日,応募の締切日を確認する,日常,2
337,さんか,参加,地域のイベントに参加する,日常,1
338,けっせき,欠席,都合が悪く会合を欠席する,日常,1
339,しゅっせき,出席,予定どおり会議に出席する,日常,1
340,しょうたい,招待,友人を食事会に招待する,日常,2
341,きせつ,季節,季節に合った服を選ぶ,日常,1
342,つゆ,梅雨,梅雨の時期は洗濯物が乾きにくい,日常,2
343,たいふう,台風,台風に備えて雨戸を閉める,日常,1
344,ごうう,豪雨,豪雨の予報に注意する,日常,2
345,らくらい,落雷,落雷のおそれがあるため屋内に入る,日常,2
346,かみなり,雷,遠くで雷の音が聞こえる,日常,2
347,こうずい,洪水,大雨による洪水に警戒する,日常,2
348,けいほう,警報,大雨警報が発表された,日常,2
349,ちゅういほう,注意報,強風注意報が出ている,日常,2
350,ひなん,避難,危険を感じたら早めに避難する,日常,2
351,ぼうさい,防災,家族で防災用品を確認する,日常,1
352,ひじょうぐち,非常口,建物に入ったら非常口を確認する,日常,2
353,ひじょうしょく,非常食,災害に備えて非常食を用意する,日常,1
354,だんすい,断水,工事のため一時的に断水する,日常,2
355,ていでん,停電,雷の影響で停電が起きた,日常,1
356,ふっきゅう,復旧,停電から数時間後に復旧した,日常,2
357,さいがい,災害,災害への備えを家族で話し合う,日常,1
358,ひがい,被害,大雨による被害の状況を確認する,日常,1
359,きんきゅう,緊急,緊急の場合はすぐに連絡する,日常,2
360,きゅうじょ,救助,取り残された人の救助が行われた,日常,2
361,かんこう,観光,旅行先で名所を観光する,交通,1
362,しゅくはく,宿泊,駅の近くのホテルに宿泊する,交通,2
363,れんぱく,連泊,同じホテルに二日間連泊する,交通,2
364,よやくせき,予約席,予約席の番号を確認する,交通,1
365,まどぐち,窓口,駅の窓口で切符について尋ねる,交通,1
366,かいさつぐち,改札口,改札口の前で待ち合わせる,交通,1
367,きっぷ,切符,券売機で切符を買う,交通,1
368,じょうしゃ,乗車,前の扉からバスに乗車する,交通,1
369,げしゃ,下車,次の停留所で下車する,交通,1
370,はっしゃ,発車,電車がまもなく発車する,交通,1
371,とうちゃく,到着,目的地に予定どおり到着する,交通,1
372,しゅっぱつ,出発,朝七時に自宅を出発する,交通,1
373,けいゆ,経由,大阪を経由して目的地へ向かう,交通,2
374,ちょくつう,直通,空港まで直通のバスに乗る,交通,1
375,おうらい,往来,車の往来が多い道を避ける,交通,2
376,つうこうどめ,通行止め,工事のため道路が通行止めになった,交通,1
377,いっぽうつうこう,一方通行,この道路は一方通行になっている,交通,1
378,せいげんそくど,制限速度,道路の制限速度を守って運転する,交通,1
379,じょしゅせき,助手席,荷物を助手席に置く,交通,2
380,こうそくどうろ,高速道路,高速道路を使って移動する,交通,1
381,しょうひんだな,商品棚,商品棚から必要な物を取る,買い物,1
382,れじぶくろ,レジ袋,必要なのでレジ袋を一枚もらう,買い物,1
383,ふくろづめ,袋詰め,購入した商品を自分で袋詰めする,買い物,2
384,ひょうじ,表示,商品の価格表示を確認する,買い物,1
385,しょうさいひょうじ,詳細表示,商品の詳細表示を開いて確認する,買い物,2
386,ざいしつ,材質,服のタグで材質を確認する,買い物,2
387,せいぞう,製造,商品の製造年月日を確認する,買い物,2
388,げんさん,原産,食品の原産国を確認する,買い物,2
389,こくさん,国産,国産の野菜を選んで買う,買い物,1
390,ゆにゅう,輸入,海外から輸入された食品を買う,買い物,2
391,ひんばん,品番,家電の品番を控えておく,買い物,2
392,ざいしつひょうじ,材質表示,材質表示を見て洗い方を確認する,買い物,2
393,とりあつかい,取扱い,商品の取扱い方法を確認する,買い物,2
394,ちゅういじこう,注意事項,使用前に注意事項を読む,買い物,2
395,ほかん,保管,食品を涼しい場所で保管する,買い物,1
396,みかいふう,未開封,未開封の商品を棚にしまう,買い物,2
397,かいふうずみ,開封済み,開封済みの食品は早めに食べる,買い物,2
398,しんぴん,新品,壊れた家電を新品に買い替える,買い物,1
399,ちゅうこ,中古,中古の本を安く購入する,買い物,1
400,ざいこぎれ,在庫切れ,欲しい色は在庫切れだった,買い物,1
401,しょるい,書類,必要な書類をそろえて提出する,手続き,1
402,きにゅう,記入,申込書に氏名を記入する,手続き,1
403,しめい,氏名,欄に氏名を正しく書く,手続き,1
404,せいねんがっぴ,生年月日,本人確認のため生年月日を入力する,手続き,1
405,げんじゅうしょ,現住所,申込書に現在の現住所を記入する,手続き,2
406,れんらくさき,連絡先,緊急時の連絡先を登録する,手続き,1
407,きんきゅうれんらくさき,緊急連絡先,申込書に緊急連絡先を書く,手続き,1
408,ひつようじこう,必要事項,必要事項をすべて記入する,手続き,1
409,ひっす,必須,星印の項目は入力が必須です,手続き,2
410,にんい,任意,この項目への回答は任意です,手続き,2
411,せんたく,選択,該当する項目を一つ選択する,手続き,1
412,どうい,同意,内容を読んで規約に同意する,手続き,1
413,きやく,規約,申し込み前に利用規約を読む,手続き,2
414,てつづき,手続き,住所変更の手続きを済ませる,手続き,1
415,うけつけばんごう,受付番号,発行された受付番号を控える,手続き,1
416,せいりけん,整理券,窓口で整理券を取って待つ,手続き,1
417,こうふ,交付,窓口で証明書の交付を受ける,手続き,2
418,へんきゃく,返却,借りた物を期限までに返却する,手続き,2
419,ふんしつ,紛失,カードを紛失したため利用を停止する,手続き,2
420,とどけで,届出,住所変更の届出を役所に提出する,手続き,2
421,あくしゅ,握手,久しぶりに会った相手と握手する,日常,2
422,あくび,欠伸,眠くなって思わず欠伸が出る,日常,3
423,ためいき,溜息,心配事があって溜息をつく,日常,3
424,くしゃみ,嚏,急に大きなくしゃみが出た,日常,3
425,まばたき,瞬き,目が乾いたので何度か瞬きをする,日常,3
426,まぶた,瞼,眠くて瞼が重くなる,日常,3
427,ひざ,膝,椅子に座って膝を伸ばす,日常,3
428,ひじ,肘,机に肘をつかないようにする,日常,3
429,つめ,爪,伸びた爪を短く切る,日常,2
430,はだ,肌,乾燥する季節は肌を保湿する,日常,2
431,はだざわり,肌触り,肌触りのよいタオルを選ぶ,日常,2
432,かおり,香り,部屋にコーヒーの香りが広がる,日常,2
433,におい,匂い,料理のおいしそうな匂いがする,日常,2
434,よごれ,汚れ,シャツについた汚れを落とす,日常,2
435,しみ,染み,服についた染みをすぐに洗う,日常,2
436,しわ,皺,アイロンでシャツの皺を伸ばす,日常,3
437,ほころび,綻び,服の裾の綻びを縫い直す,日常,3
438,ぬう,縫う,取れたボタンを糸で縫う,日常,2
439,ほどく,解く,絡まったひもをゆっくり解く,日常,2
440,むすぶ,結ぶ,袋の口をひもで結ぶ,日常,1
441,たな,棚,本を棚にきれいに並べる,家,2
442,たんす,箪笥,衣替えした服を箪笥にしまう,家,3
443,おしいれ,押入れ,布団を押入れに収納する,家,1
444,げたばこ,下駄箱,脱いだ靴を下駄箱にしまう,家,2
445,かべ,壁,壁に時計を掛ける,家,1
446,てんじょう,天井,天井の照明を交換する,家,2
447,ゆか,床,床に落ちたごみを拾う,家,1
448,かいだん,階段,階段をゆっくり下りる,家,1
449,てすり,手摺,階段では手摺につかまる,家,3
450,しきい,敷居,敷居の溝を掃除する,家,3
451,たたみ,畳,畳の部屋で横になる,家,2
452,ふすま,襖,襖を静かに閉める,家,3
453,くつべら,靴箆,玄関に靴箆を置いておく,家,3
454,にわ,庭,休日に庭の草を抜く,家,1
455,うえき,植木,庭の植木に水をやる,家,1
456,えだ,枝,伸びた木の枝を切る,家,1
457,かれは,枯葉,庭に落ちた枯葉を集める,家,2
458,しばふ,芝生,庭の芝生を手入れする,家,2
459,ひなた,日向,洗濯物を日向に干す,家,2
460,ひかげ,日陰,暑いので日陰で少し休む,家,2
461,かんじょう,勘定,食事のあとで勘定を済ませる,買い物,2
462,べんしょう,弁償,壊してしまった品物を弁償する,買い物,2
463,むりょう,無料,このサービスは期間中無料で使える,買い物,1
